supplier_key,supplier_name,award_count,buyer_count,award_amount_pen,average_award_ticket_pen,known_buyer_amount_pen,top_buyer_share_pct,award_hhi,award_item_count,award_item_amount_pen,known_category_item_amount_pen,category_count,top_category_share_pct,contract_count,contract_amount_pen,known_buyer_amount_coverage_pct,known_category_item_amount_coverage_pct,effective_award_count,is_score_eligible,component_award_amount_materiality,component_buyer_dependency,component_category_dependency,component_award_concentration,component_limited_buyer_breadth,score_baseline,rank_baseline,score_dependency_heavy,rank_dependency_heavy,score_materiality_heavy,rank_materiality_heavy,score_balanced_equal,rank_balanced_equal,exposure_band,maximum_absolute_rank_shift,scenario_score_range
1329,COTRINA AVILA JUANA GUADALUPE,2,1,814315.0,407157.5,814315.0,100.0,8648.782569465067,2,814315.0,814315.0,1,100.0,0.0,0.0,100.0,100.0,1.1562320962149597,True,79.7752808988764,80.0561797752809,75.0,95.50561797752809,79.21348314606742,80.96910112359551,1,79.76123595505618,1,81.4185393258427,2,81.91011235955057,1,HIGHER_RELATIVE,1,2.1488764044943878
12731,BAKER BOTTS LLP,3,1,40354600.0,13451533.333333334,40354600.0,100.0,5055.063753414322,3,40354600.0,40354600.0,1,100.0,3.0,40354600.0,100.0,100.0,1.9782144178193084,True,100.0,80.0561797752809,75.0,35.95505617977528,79.21348314606742,76.08146067415731,2,75.82865168539325,4,80.57584269662922,3,74.04494382022472,4,HIGHER_RELATIVE,2,6.530898876404507
4193,EMPRESA DE TRANSPORTES ROMERO SRLTDA,2,1,9202678.238,4601339.119,9202678.238,100.0,7596.661196113528,2,9202678.238,9202678.238,2,86.03235487803654,2.0,9202678.238,100.0,100.0,1.316367775505906,True,98.31460674157303,80.0561797752809,43.258426966292134,91.01123595505618,79.21348314606742,76.06741573033709,3,70.0561797752809,26,83.39887640449439,1,78.37078651685394,2,HIGHER_RELATIVE,25,13.342696629213492
7971,GZ PERU S.A.,2,1,11145315.64,5572657.82,11145315.64,100.0,5039.557252661693,2,11145315.64,11145315.64,1,100.0,0.0,0.0,100.0,100.0,1.9843012984361668,True,98.87640449438203,80.0561797752809,75.0,33.146067415730336,79.21348314606742,75.43539325842697,4,75.43539325842697,7,79.70505617977528,4,73.25842696629213,10,HIGHER_RELATIVE,6,6.446629213483149
11674,CONTRATISTAS Y SERVICIOS GENERALES JM14 S.A.C.S,2,1,427437.5,213718.75,427437.5,100.0,6207.596433766319,2,427437.5,427437.5,1,100.0,1.0,318750.0,100.0,100.0,1.6109294646805392,True,61.235955056179776,80.0561797752809,75.0,76.40449438202248,79.21348314606742,74.39606741573034,5,75.99719101123596,2,71.13764044943821,18,74.38202247191012,3,HIGHER_RELATIVE,16,4.859550561797747
7455,JERUSAP S.A.C.,2,1,413700.0,206850.0,413700.0,100.0,6329.170437532637,2,413700.0,413700.0,1,100.0,0.0,0.0,100.0,100.0,1.5799858921003238,True,58.42696629213483,80.0561797752809,75.0,77.52808988764045,79.21348314606742,74.00280898876406,6,75.82865168539327,3,70.18258426966293,23,74.04494382022472,4,HIGHER_RELATIVE,20,5.646067415730343
7702,APLEZA CONTRATISTAS GENERALES S.A.C - APLEZA S.A.C.,2,1,487190.0,243595.0,487190.0,100.0,5847.939798836276,2,487190.0,487190.0,1,100.0,2.0,487190.0,100.0,100.0,1.7100039234312865,True,66.85393258426966,80.0561797752809,75.0,66.29213483146067,79.21348314606742,74.00280898876404,7,75.54775280898878,6,71.8679775280899,15,73.48314606741573,7,HIGHER_RELATIVE,9,3.6797752808988804
624,MISME MEDINA MOISES ARTURO,2,1,426920.0,213460.0,426920.0,100.0,6169.1351119590645,2,426920.0,426920.0,1,100.0,0.0,0.0,100.0,100.0,1.6209727649852703,True,60.674157303370784,80.0561797752809,75.0,74.15730337078652,79.21348314606742,73.94662921348315,8,75.71629213483146,5,70.57584269662921,19,73.82022471910113,6,HIGHER_RELATIVE,14,5.140449438202253
9379,MULTISERVICIOS EL SHILICO E.I.R.L.,2,1,740686.6799999999,370343.33999999997,740686.6799999999,100.0,5208.441610818282,2,740686.6799999999,740686.6799999999,1,100.0,0.0,0.0,100.0,100.0,1.9199600854177437,True,77.52808988764045,80.0561797752809,75.0,50.0,79.21348314606742,73.6938202247191,9,74.98595505617978,8,73.6938202247191,14,72.35955056179776,11,HIGHER_RELATIVE,6,2.6264044943820153
8831,TURF PERU S.A.C.,2,1,601124.0,300562.0,601124.0,100.0,5198.801383370039,2,601124.0,601124.0,1,100.0,0.0,0.0,100.0,100.0,1.9235203006577761,True,73.59550561797752,80.0561797752809,75.0,47.19101123595506,79.21348314606742,72.48595505617978,10,74.311797752809,10,71.6994382022472,16,71.01123595505618,16,HIGHER_RELATIVE,6,3.3005617977528203
8639,GUSFERLI GROUP S.A.C.,2,1,494000.0,247000.0,494000.0,100.0,5266.2721893491125,2,494000.0,494000.0,1,100.0,1.0,190000.0,100.0,100.0,1.898876404494382,True,67.41573033707866,80.0561797752809,75.0,53.37078651685393,79.21348314606742,72.17696629213484,11,74.31179775280899,11,70.15449438202248,24,71.01123595505618,16,HIGHER_RELATIVE,13,4.157303370786508
7243,INVERSIONES DRUMAL S.R.L,2,2,2454625.2,1227312.6,2454625.2,92.8532795964125,8672.807144336608,2,2454625.2,2454625.2,1,100.0,1.0,175425.2,100.0,100.0,1.1530292134456208,True,93.82022471910112,54.49438202247191,75.0,96.06741573033707,36.79775280898876,71.95224719101124,12,68.87640449438203,29,77.76685393258427,5,71.23595505617978,14,HIGHER_RELATIVE,24,8.89044943820224
